track_id,first_frame,last_frame,duration_seconds,total_distance_pixels,average_speed_pixels_per_second,min_x,max_x,min_y,max_y,path_length
1,3,181,5.933333333333334,944.7746556764204,159.23168354096973,5,210,89,276,179
2,3,194,6.366666666666667,739.3932871294829,116.13507127688213,218,424,134,267,192
3,3,169,5.533333333333334,679.9427757083973,122.88122452561396,456,681,124,332,167
4,3,49,1.5333333333333332,216.32293181272075,141.08017292133962,432,628,96,163,47
5,3,35,1.0666666666666667,2.0,1.875,840,841,40,40,33
6,6,40,1.1333333333333333,70.76303681931695,62.4379736641032,67,128,110,144,35
8,13,48,1.1666666666666667,200.19444775771566,171.59524093518485,862,996,42,190,36
9,20,185,5.5,338.1604002232763,61.48370913150479,711,887,369,499,166
10,21,76,1.8333333333333333,187.19683065356003,102.1073621746691,-96,62,114,149,56
11,22,77,1.8333333333333335,77.67571368588878,42.368571101393876,886,917,81,143,56
13,37,70,1.1,17.82842712474619,16.207661022496538,6,19,60,66,34
14,39,89,1.6666666666666667,246.37696990708758,147.82618194425254,554,669,40,247,51
15,43,77,1.1333333333333335,155.30410795540587,137.03303643124045,659,811,17,42,35
17,51,149,3.2666666666666666,263.5704206817104,80.68482265766644,885,1057,116,146,99
18,52,93,1.3666666666666667,76.02866569109335,55.63073099348294,354,414,56,96,42
21,62,101,1.2999999999999998,47.05482268856019,36.196017452738616,664,697,82,105,40
24,67,97,1.0,70.21309914033505,70.21309914033505,1121,1189,9,19,31
25,68,100,1.0666666666666669,14.0,13.124999999999998,495,508,178,179,33
26,71,101,1.0,63.304951684997036,63.304951684997036,1140,1200,14,28,31
27,74,121,1.5666666666666664,367.6870879768844,234.69388594269222,416,774,75,140,48
28,75,138,2.0999999999999996,113.38274671918877,53.991784151994665,1134,1167,28,110,64
29,77,128,1.6999999999999997,187.27932632942523,110.16430960554428,710,857,97,182,52
31,82,181,3.3,416.5524828242616,126.22802509826109,931,1179,135,246,100
33,90,131,1.3666666666666663,76.74117393598574,56.15207848974568,3,21,114,169,42
34,95,131,1.1999999999999997,129.42771607045577,107.85643005871317,561,589,98,218,37
36,97,154,1.9000000000000004,229.84946657745164,120.97340346181663,6,206,160,256,58
37,105,245,4.666666666666666,799.1611792603976,171.2488241272281,793,1329,44,249,141
38,112,143,1.0333333333333332,993.4774465613089,961.4297869948151,453,1436,36,179,32
41,114,144,1.0,35.798989873223334,35.798989873223334,1153,1167,111,141,31
42,115,341,7.533333333333333,838.3164066114572,111.2809389307244,302,639,120,298,227
43,116,149,1.1,109.30650552513802,99.36955047739819,613,720,59,73,34
45,123,244,4.033333333333333,188.03118103553746,46.619301083191104,335,453,173,216,122
46,124,171,1.5666666666666664,345.1703060463333,220.32147194446807,848,1176,91,155,48
47,135,166,1.0333333333333332,103.09677158662795,99.7710692773819,20,122,48,55,32
48,136,188,1.7333333333333334,658.9437003806797,380.15982714269984,884,1462,172,260,53
49,142,202,2.0,185.85273828399335,92.92636914199667,-51,46,231,369,61
50,145,248,3.4333333333333345,411.5631406235134,119.87275940490677,443,565,196,276,104
51,151,214,2.1000000000000005,214.53577699779407,102.15989380847334,661,869,194,217,64
52,151,182,1.0333333333333332,67.15652323517634,64.9901837759771,930,980,61,105,32
53,154,216,2.0666666666666664,365.97388023561604,177.08413559787874,109,425,44,116,63
56,164,234,2.333333333333333,225.91873369845297,96.82231444219414,308,437,204,236,71
59,168,217,1.6333333333333337,165.63771857470257,101.41084810696073,503,636,179,211,50
61,173,204,1.0333333333333332,18.899494936611667,18.289833809624195,1247,1263,9,16,32
62,173,203,1.0,44.07011570144624,44.07011570144624,921,953,28,58,31
63,177,207,1.0,38.2842712474619,38.2842712474619,239,261,43,71,31
66,191,242,1.7000000000000002,177.1373330123324,104.19843118372492,352,472,83,184,52
68,194,242,1.5999999999999996,196.1808869758328,122.61305435989553,549,711,94,201,49
69,201,233,1.0666666666666664,103.79223366291484,97.30521905898269,-20,80,62,86,33
70,203,235,1.0666666666666664,13.414213562373096,12.57582521472478,1295,1304,16,21,33
72,209,241,1.0666666666666664,8.0,7.500000000000002,1287,1288,14,21,33
74,216,285,2.3,294.8748577936685,128.20645991029068,121,304,197,225,70
75,217,254,1.2333333333333334,117.39890187795606,95.18829881996437,1218,1300,68,150,38
76,220,251,1.033333333333334,26.142135623730955,25.29884092619123,1264,1273,26,48,32
77,221,424,6.766666666666667,686.0773557198163,101.3907422246034,876,1124,575,780,204
79,223,255,1.0666666666666664,70.50282559698623,66.0963989971746,71,132,46,80,33
80,224,255,1.0333333333333332,7.0,6.774193548387098,1315,1320,4,6,32
81,229,267,1.2666666666666666,132.28722414823042,104.43728222228718,1251,1368,71,129,39
82,230,263,1.1000000000000005,37.41421356237309,34.01292142033916,1279,1316,6,7,34
84,240,271,1.0333333333333332,24.48528137423857,23.695433587972815,81,93,46,62,32
87,259,289,1.0,63.08641773198751,63.08641773198751,1259,1286,24,80,31
89,264,299,1.166666666666666,52.979329760722266,45.41085408061911,1263,1280,20,66,36
91,265,306,1.3666666666666654,56.23511586708054,41.14764575640043,1207,1234,19,64,42
95,270,300,1.0,22.07106781186548,22.07106781186548,301,307,104,123,31
96,281,405,4.133333333333333,396.45668183781385,95.91693915430982,1129,1269,0,84,125
98,283,317,1.1333333333333329,66.12461179749809,58.34524570367481,1249,1313,30,39,35
100,294,329,1.166666666666666,53.39834563766817,45.77001054657274,1265,1266,-21,32,36
101,299,329,1.0,43.19348530673794,43.19348530673794,110,119,54,94,31
103,301,335,1.1333333333333329,18.414213562373096,16.24783549621156,1247,1257,46,51,35
105,314,349,1.166666666666666,113.68644370433573,97.44552317514496,1311,1420,17,44,36
111,325,365,1.3333333333333321,90.50758471104729,67.88068853328552,1265,1346,-1,29,41
113,329,359,1.0,34.627416997969526,34.627416997969526,1000,1021,62,85,31
115,342,385,1.4333333333333336,62.40742358205814,43.54006296422661,997,1011,95,145,44
116,358,390,1.0666666666666664,241.5414126221424,226.44507433325853,1274,1504,-24,48,33
118,366,396,1.0,32.41421356237309,32.41421356237309,1152,1184,73,74,31
120,382,599,7.2333333333333325,1845.921389146384,255.1965054119425,996,2096,755,980,218
122,384,416,1.0666666666666664,45.66562126173751,42.81151993287893,1172,1181,6,48,33
123,388,423,1.166666666666666,825.0888888239758,707.2190475634083,553,1378,25,29,36
127,405,443,1.2666666666666675,97.0480363953742,76.61687083845327,1247,1338,39,45,39
129,424,490,2.1999999999999993,219.97399877396745,99.98818126089432,1113,1288,43,81,67
135,456,491,1.1666666666666679,57.9749513537284,49.69281544605286,571,622,159,179,36
136,461,494,1.0999999999999979,131.43010351163485,119.48191228330464,1080,1202,-18,28,34
138,472,506,1.1333333333333346,54.67571368588881,48.24327678166654,1132,1173,20,46,35
139,472,505,1.0999999999999996,111.81788546843742,101.65262315312496,1125,1170,-50,50,34
140,477,517,1.333333333333334,130.54931392937928,97.91198544703441,1039,1165,20,30,41
141,479,511,1.0666666666666682,99.3349081072839,93.12647635057851,-13,75,81,124,33
143,498,542,1.466666666666665,107.44966231842085,73.26113339892339,1154,1251,36,66,45
147,530,566,1.1999999999999993,67.5733663054379,56.31113858786495,1145,1200,12,49,37
152,542,572,1.0,62.59579564207845,62.59579564207845,1125,1170,-13,28,31
154,556,592,1.1999999999999993,61.487635604769096,51.23969633730761,1236,1254,16,70,37
155,558,600,1.3999999999999986,74.3307975403345,53.0934268145247,1085,1154,22,32,43
157,580,616,1.2000000000000028,62.95865952144452,52.46554960120364,1195,1235,58,105,37
158,587,631,1.4666666666666686,30.779959875110045,20.986336278484096,1134,1148,25,41,45
159,593,666,2.4333333333333336,268.6918990353237,110.42132837068095,1098,1198,28,134,74
160,596,628,1.0666666666666664,9.414213562373096,8.825825214724778,1137,1138,25,34,33
163,614,674,2.0,196.759845704423,98.3799228522115,1051,1198,33,52,61
164,628,666,1.2666666666666657,75.23025596622495,59.39230734175658,1137,1175,17,79,39
166,641,707,2.1999999999999993,215.6821782780866,98.03735376276667,1014,1186,85,139,67
168,660,691,1.033333333333335,142.3175654603123,137.7266762519149,945,1081,-13,27,32
173,728,738,0.3333333333333357,15.128990204491961,45.38697061347556,1097,1103,79,92,11
